gembase_name	#assembly_accession	refseq_category	taxid	species_taxid	organism_name	tax_id	genus_from_sp	order	family	order_id	family_id	lineage
GAMA.0123.00218	GCF_000287335.1	representative genome	1199245	1199245	secondary endosymbiont of Ctenarytaina eucalypti	1199245	secondary	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 146507, 1199245]
GAMA.0123.00230	GCF_003382565.3	representative genome	2204145	2204145	Pectobacterium aquaticum	2204145	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 2204145]
GAMA.0123.00231	GCF_000262305.1	representative genome	630626	563	Shimwellia blattae DSM 4481 = NBRC 105725	630626	Shimwellia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1335483, 563, 630626]
GAMA.0123.00243	GCF_900638135.1	representative genome	137545	137545	Serratia quinivorans	137545	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 137545]
GAMA.0123.00246	GCF_009648975.1	representative genome	244366	244366	Klebsiella variicola	244366	Klebsiella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 2890311, 570, 244366]
GAMA.0123.00249	GCF_900048045.1	representative genome	1778264	1778264	Candidatus Mikella endobia	1778264	Mikella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 1906660, 1778264]
GAMA.0123.00251	GCF_900048035.1	representative genome	1070130	1070130	Candidatus Gullanella endobia	1070130	Gullanella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 1906661, 1070130]
GAMA.0123.00259	GCF_021172065.1	representative genome	2891570	2891570	Pseudocitrobacter corydidari	2891570	Pseudocitrobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1504576, 2891570]
GAMA.0123.00266	GCF_023586525.1	representative genome	251540	251540	Candidatus Blochmannia vicinus	251540	Blochmannia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 251540]
GAMA.0123.00270	GCF_019923565.1	representative genome	1081631	1081631	Candidatus Schneideria nysicola	1081631	Schneideria	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1081630, 1081631]
GAMA.0123.00271	GCF_009817885.1	representative genome	2597702	2597702	Serratia rhizosphaerae	2597702	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 2597702]
GAMA.0123.00273	GCF_022637595.1	representative genome	575	575	Raoultella planticola	575	Raoultella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 2890311, 160674, 575]
GAMA.0123.00279	GCF_020541245.1	representative genome	1345117	1345117	Candidatus Annandia pinicola	1345117	Annandia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 1302410, 1345117]
GAMA.0123.00281	GCF_001010285.1	representative genome	230089	230089	Photorhabdus thracensis	230089	Photorhabdus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 29487, 230089]
GAMA.0123.00299	GCF_900343015.1	representative genome	235559	235559	Arsenophonus endosymbiont of Aleurodicus dispersus	235559	Arsenophonus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 637, 2627083, 235559]
GAMA.0123.00300	GCF_025946765.1	representative genome	69221	69221	Pectobacterium cacticida	69221	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 69221]
GAMA.0123.00303	GCF_009730055.1	representative genome	631	631	Yersinia intermedia	631	Yersinia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 629, 631]
GAMA.0123.00306	GCF_000973505.1	representative genome	1505596	1505596	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	Blochmannia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 711328, 1505596]
GAMA.0123.00308	GCF_900161835.1	representative genome	1929246	1929246	Sodalis endosymbiont of Henestaris halophilus	1929246	Sodalis	Enterobacterales	Bruguierivoracaceae	91347	2812006	[1, 131567, 2, 1224, 1236, 91347, 2812006, 84565, 2636512, 1929246]
GAMA.0123.00309	GCF_000023565.1	representative genome	561229	556	Dickeya chrysanthemi Ech1591	561229	Dickeya	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 204037, 556, 561229]
GAMA.0123.00310	GCF_900635955.1	representative genome	158823	158823	Cedecea lapagei	158823	Cedecea	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 158483, 158823]
GAMA.0123.00340	GCF_019797845.1	representative genome	2871826	2871826	Symbiopectobacterium purcellii	2871826	Symbiopectobacterium	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 801, 2871826]
GAMA.0123.00341	GCF_001534665.1	representative genome	634113	634113	Candidatus Arsenophonus lipoptenae	634113	Arsenophonus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 637, 634113]
GAMA.0123.00342	GCF_902387845.1	representative genome	582	582	Morganella morganii	582	Morganella	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 581, 582]
GAMA.0123.00344	GCF_000834455.1	representative genome	29485	29485	Yersinia rohdei	29485	Yersinia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 629, 29485]
GAMA.0123.00350	GCF_012427845.1	representative genome	2108399	2108399	Pectobacterium punjabense	2108399	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 2108399]
GAMA.0123.00351	GCF_000147055.1	representative genome	198628	204038	Dickeya dadantii 3937	198628	Dickeya	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 204037, 204038, 198628]
GAMA.0123.00356	GCF_009176645.1	representative genome	2478464	2478464	Enterobacter oligotrophicus	2478464	Enterobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 547, 2478464]
GAMA.0123.00369	GCF_900090215.1	representative genome	1835721	1835721	secondary endosymbiont of Trabutina mannipara	1835721	secondary	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 199891, 1835721]
GAMA.0123.00375	GCF_005484965.1	representative genome	1121120	55210	Brenneria nigrifluens DSM 30175 = ATCC 13028	1121120	Brenneria	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 71655, 55210, 1121120]
GAMA.0123.00387	GCF_014946825.2	representative genome	2774015	2774015	Pectobacterium quasiaquaticum	2774015	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 2774015]
GAMA.0123.00391	GCF_000247565.1	representative genome	1142511	51229	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	1142511	Wigglesworthia	Enterobacterales	Erwiniaceae	91347	1903409	[1, 131567, 2, 1224, 1236, 91347, 1903409, 51228, 51229, 36868, 1142511]
GAMA.0123.00405	GCF_005484945.1	representative genome	55213	55213	Brenneria rubrifaciens	55213	Brenneria	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 71655, 55213]
GAMA.0123.00412	GCF_000025065.1	representative genome	590409	2893572	Dickeya parazeae Ech586	590409	Dickeya	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 204037, 2893572, 590409]
GAMA.0123.00436	GCF_013234275.1	representative genome	82977	82977	Buttiauxella agrestis	82977	Buttiauxella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 82976, 82977]
GAMA.0123.00439	GCF_001658025.2	representative genome	497725	497725	Kosakonia oryzae	497725	Kosakonia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1330547, 497725]
GAMA.0123.00443	GCF_015137655.1	na	881260	881260	Enterobacter bugandensis	881260	Enterobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 547, 881260]
GAMA.0123.00445	GCF_000005845.2	reference genome	511145	562	Escherichia coli str. K-12 substr. MG1655	511145	Escherichia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 561, 562, 83333, 511145]
GAMA.0123.00449	GCF_900638655.1	representative genome	82985	82985	Pragia fontium	82985	Pragia	Enterobacterales	Budviciaceae	91347	1903416	[1, 131567, 2, 1224, 1236, 91347, 1903416, 82984, 82985]
GAMA.0123.00455	GCF_025133195.1	representative genome	2890317	2890317	Yersinia alsatica	2890317	Yersinia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 629, 2890317]
GAMA.0123.00458	GCF_014857065.1	representative genome	2681987	2681987	Blochmannia endosymbiont of Colobopsis nipponica	2681987	Blochmannia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 711328, 2681987]
GAMA.0123.00459	GCF_003391335.1	representative genome	472834	472834	Candidatus Purcelliella pentastirinorum	472834	Purcelliella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 472825, 472834]
GAMA.0123.00460	GCF_016026735.1	representative genome	61652	61652	Serratia rubidaea	61652	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 61652]
GAMA.0123.00462	GCF_904848675.1	representative genome	1177216	1177216	Candidatus Profftia tarda	1177216	Profftia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1177214, 1177216]
GAMA.0123.00467	GCF_023585725.1	representative genome	108080	108080	Candidatus Blochmanniella camponoti	108080	Blochmanniella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 108080]
GAMA.0123.00475	GCF_009036245.1	representative genome	2071710	2071710	Enterobacter sichuanensis	2071710	Enterobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 547, 354276, 2071710]
GAMA.0123.00482	GCF_000261045.2	representative genome	1154756	2338073	Serratia inhibens PRI-2C	1154756	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 2338073, 1154756]
GAMA.0123.00490	GCF_022647505.1	representative genome	1324864	1324864	[Pantoea] beijingensis	1324864	Pantoea	Enterobacterales	Erwiniaceae	91347	1903409	[1, 131567, 2, 1224, 1236, 91347, 1903409, 551, 1324864]
GAMA.0123.00492	GCF_000520015.2	representative genome	1441930	1639108	Chania multitudinisentens RB-25	1441930	Chania	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 1745211, 1639108, 1441930]
GAMA.0123.00501	GCF_000287355.1	representative genome	134287	134287	secondary endosymbiont of Heteropsylla cubana	134287	secondary	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 146507, 134287]
GAMA.0123.00505	GCF_000973545.1	representative genome	1505597	1505597	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	Blochmannia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 711328, 1505597]
GAMA.0123.00511	GCF_012029655.1	representative genome	577	577	Raoultella terrigena	577	Raoultella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 2890311, 160674, 577]
GAMA.0123.00513	GCF_004295645.1	representative genome	2498113	2498113	Limnobaculum zhutongyuii	2498113	Limnobaculum	Enterobacterales	Budviciaceae	91347	1903416	[1, 131567, 2, 1224, 1236, 91347, 1903416, 2172100, 2498113]
GAMA.0123.00514	GCF_000011745.1	representative genome	291272	101534	Candidatus Blochmanniella pennsylvanica str. BPEN	291272	Blochmanniella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 101534, 291272]
GAMA.0123.00516	GCF_003019925.1	representative genome	61647	61647	Pluralibacter gergoviae	61647	Pluralibacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1330546, 61647]
GAMA.0123.00522	GCF_005671395.1	representative genome	2579935	2579935	Jejubacter calystegiae	2579935	Jejubacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 2815296, 2579935]
GAMA.0123.00527	GCF_001518835.1	representative genome	83655	83655	Leclercia adecarboxylata	83655	Leclercia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 83654, 83655]
GAMA.0123.00535	GCF_000023545.1	representative genome	579405	69223	Musicola paradisiaca Ech703	579405	Musicola	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 2884243, 69223, 579405]
GAMA.0123.00543	GCF_009827135.1	representative genome	2681986	2681986	Blochmannia endosymbiont of Camponotus nipponensis	2681986	Blochmannia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 711328, 2681986]
GAMA.0123.00552	GCF_023585785.1	representative genome	2945587	2945587	Blochmannia endosymbiont of Camponotus modoc	2945587	Blochmannia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 711328, 2945587]
GAMA.0123.00559	GCF_014295015.1	representative genome	628	628	Xenorhabdus nematophila	628	Xenorhabdus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 626, 628]
GAMA.0123.00562	GCF_000834395.1	representative genome	1453495	29483	Yersinia aldovae 670-83	1453495	Yersinia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 629, 29483, 1453495]
GAMA.0123.00565	GCF_900187015.1	representative genome	61651	61651	Serratia ficaria	61651	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 61651]
GAMA.0123.00573	GCF_001277195.1	representative genome	1159613	413501	Cronobacter muytjensii ATCC 51329	1159613	Cronobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 413496, 413501, 1159613]
GAMA.0123.00584	GCF_002163605.1	representative genome	53336	53336	Tatumella citrea	53336	Tatumella	Enterobacterales	Erwiniaceae	91347	1903409	[1, 131567, 2, 1224, 1236, 91347, 1903409, 82986, 53336]
GAMA.0123.00589	GCF_022354085.1	representative genome	622	622	Shigella dysenteriae	622	Shigella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 620, 622]
GAMA.0123.00594	GCF_015167415.1	representative genome	1646340	1646340	Kosakonia pseudosacchari	1646340	Kosakonia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1330547, 1646340]
GAMA.0123.00596	GCF_022014715.1	representative genome	539813	539813	Enterobacter mori	539813	Enterobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 547, 539813]
